I, [2015-05-11T15:10:38.160633 #53353]  INFO -- Kitchen: -----> Starting Kitchen (v1.4.0)
E, [2015-05-11T15:10:38.160866 #53353] ERROR -- Kitchen: ------Exception-------
E, [2015-05-11T15:10:38.160897 #53353] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-05-11T15:10:38.160913 #53353] ERROR -- Kitchen: Message: Kitchen YAML file /Users/jamesgoin/learning-chef/.kitchen.yml does not exist.
E, [2015-05-11T15:10:38.160935 #53353] ERROR -- Kitchen: ------Backtrace-------
E, [2015-05-11T15:10:38.160946 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-05-11T15:10:38.160968 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:145:in `data'
E, [2015-05-11T15:10:38.160980 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:124:in `suites'
E, [2015-05-11T15:10:38.161000 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:175:in `filter_instances'
E, [2015-05-11T15:10:38.161011 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:134:in `build_instances'
E, [2015-05-11T15:10:38.161032 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/config.rb:110:in `instances'
E, [2015-05-11T15:10:38.161044 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-05-11T15:10:38.161056 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-05-11T15:10:38.161077 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-05-11T15:10:38.161101 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/rubies/ruby-2.0.0-p643/lib/ruby/2.0.0/benchmark.rb:281:in `measure'
E, [2015-05-11T15:10:38.161111 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/command/action.rb:37:in `call'
E, [2015-05-11T15:10:38.161122 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/cli.rb:56:in `perform'
E, [2015-05-11T15:10:38.161132 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/cli.rb:171:in `block (2 levels) in <class:CLI>'
E, [2015-05-11T15:10:38.161142 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-05-11T15:10:38.161152 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-05-11T15:10:38.161163 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/cli.rb:308:in `invoke_task'
E, [2015-05-11T15:10:38.161175 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-05-11T15:10:38.161185 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-05-11T15:10:38.161196 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/bin/kitchen:13:in `block in <top (required)>'
E, [2015-05-11T15:10:38.161206 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-05-11T15:10:38.161216 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/gems/test-kitchen-1.4.0/bin/kitchen:13:in `<top (required)>'
E, [2015-05-11T15:10:38.161226 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/bin/kitchen:23:in `load'
E, [2015-05-11T15:10:38.161237 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/bin/kitchen:23:in `<main>'
E, [2015-05-11T15:10:38.161254 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/bin/ruby_executable_hooks:15:in `eval'
E, [2015-05-11T15:10:38.161267 #53353] ERROR -- Kitchen: /Users/jamesgoin/.rvm/gems/ruby-2.0.0-p643/bin/ruby_executable_hooks:15:in `<main>'
E, [2015-05-11T15:10:38.161278 #53353] ERROR -- Kitchen: ----------------------
